# [Urea] 	 [D] 	 [I] 	 [N] 
0.0	2.403082055495908e-12	1.0409441837765125e-06	0.9999989590534105
0.05	3.0892378399705468e-12	1.1741432568945965e-06	0.999998825853652
0.1	4.080276251992803e-12	1.3596908298392015e-06	0.9999986403050873
0.15	5.388798120548209e-12	1.5744338880514185e-06	0.9999984255607215
0.2	7.117086073772878e-12	1.8231250597098463e-06	0.999998176867822
0.25	9.399458607033228e-12	2.1110529187456195e-06	0.9999978889376797
0.3	1.2412571574540998e-11	2.4442256001854747e-06	0.9999975557619851
0.35	1.6391734650554194e-11	2.83000754086526e-06	0.9999971699760652
0.4	2.1645341507229184e-11	3.2765059730404986e-06	0.9999967234723811
0.45	2.8582331184230818e-11	3.793396299241116e-06	0.9999962065751171
0.5	3.774107594604659e-11	4.391666770489315e-06	0.9999956082954871
0.55	4.9833925254046076e-11	5.084226811788188e-06	0.9999949157233514
0.6	6.579919428864622e-11	5.885800800481511e-06	0.9999941141333973
0.65	8.687628288935089e-11	6.813524270734656e-06	0.9999931863888497
0.7	1.1470408235607668e-10	7.887423222514808e-06	0.9999921124620694
0.75	1.5144144006406452e-10	9.13034177215125e-06	0.9999908695067818
0.8	1.9994089110108107e-10	1.0568910541315586e-05	0.9999894308895134
0.85	2.639656166410756e-10	1.2233833689039717e-05	0.9999877659023426
0.9	3.484897061953988e-10	1.4160933284594394e-05	0.9999858387182214
0.95	4.6006841651075385e-10	1.639122228118993e-05	0.999983608317647
1.0	6.07365143341309e-10	1.8972559633561718e-05	0.999981026832996
1.05	8.018049635317812e-10	2.1959992395879243e-05	0.999978039205795
1.1	1.0584827723716527e-09	2.5417611133533516e-05	0.9999745813303798
1.15	1.3973049599963045e-09	2.9419131053203734e-05	0.99997057947164
1.2	1.8445586606839046e-09	3.405014632402468e-05	0.9999659480091153
1.25	2.4349464277602767e-09	3.9409770918903044e-05	0.9999605877941365
1.3	3.214257721093738e-09	4.561244312935383e-05	0.9999543843426115
1.35	4.2429411375851165e-09	5.2790760108232616e-05	0.999947204996949
1.4	5.600779595075279e-09	6.109811111522672e-05	0.999938896288102
1.45	7.393093572045615e-09	7.071214150661648e-05	0.9999292804653961
1.5	9.758853752591799e-09	8.18380377274892e-05	0.9999181522034166
1.55	1.2881522839576957e-08	9.471359353418038e-05	0.9999052735249393
1.6	1.700322308603117e-08	0.00010961378296858456	0.9998903692138066
1.65	2.2443537714780532e-08	0.000126856907145327	0.9998731206493175
1.7	2.962424755627886e-08	0.0001468111714826068	0.9998531592042759
1.75	3.91020008278206e-08	0.00016990251672917292	0.9998300583812771
1.8	5.161150500380941e-08	0.00019662397946755013	0.9998033244090325
1.85	6.812237982118495e-08	0.0002275458735951912	0.9997723860040323
1.9	8.991427184632525e-08	0.0002633280024922625	0.9997365820832446
1.95	1.1867594593378096e-07	0.0003047336682163988	0.9996951476558485
2.0	1.5663612253827294e-07	0.0003526460646160813	0.9996471972992685
2.05	2.0673594405528916e-07	0.00040808679504781214	0.9995917064690153
2.1	2.72856523229064e-07	0.0004722373977496159	0.9995274897457364
2.15	3.601195092959921e-07	0.0005464648309213149	0.9994531750495765
2.2	4.7528290699007533e-07	0.0006323497346451873	0.9993671749824563
2.25	6.272640059659983e-07	0.0007317203458606	0.999267652390143
2.3	8.278282508816963e-07	0.0008466904599185273	0.9991524817118465
2.35	1.092498608572203e-06	0.0009797042950130397	0.9990192032063919
